City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Yaan,NG,7.38,8.57,78.96,64,16,8.75,few clouds
113,Huarmey,PE,-10.07,-78.15,66.51,79,42,6.69,scattered clouds
114,Morant Bay,JM,17.88,-76.41,80.6,74,20,3.36,few clouds
115,Esperance,AU,-33.87,121.9,57.2,87,90,12.75,overcast clouds
116,Nizhniy Ingash,RU,56.2,96.53,3.6,93,0,1.63,clear sky
117,Saint-Pierre,RE,-21.34,55.48,75.2,69,75,4.7,broken clouds
118,Bubaque,GW,11.28,-15.83,82.98,61,0,12.53,clear sky
119,Nikolskoye,RU,59.7,30.79,35.6,85,90,13.42,overcast clouds
120,Honnali,IN,14.25,75.67,67.01,84,74,7.38,broken clouds
121,Sisimiut,GL,66.94,-53.67,17.6,87,100,19.44,overcast clouds
122,Klaksvik,FO,62.23,-6.59,42.8,81,100,13.87,overcast clouds
123,Baneh,IR,36.0,45.89,33.21,92,99,6.67,overcast clouds
124,La Ronge,CA,55.1,-105.28,30.2,68,21,4.7,few clouds
125,Dingle,PH,11.0,122.67,80.89,85,38,10.76,scattered clouds
126,Constitucion,CL,-35.33,-72.42,55.78,80,0,16.55,clear sky
127,Raudeberg,NO,61.99,5.14,42.01,87,100,9.53,overcast clouds
128,Wanaka,NZ,-44.7,169.15,61.75,37,100,7.74,overcast clouds
129,Tokur,RU,53.13,132.9,-12.64,89,81,1.99,broken clouds
130,Airai,TL,-8.93,125.41,73.02,64,98,2.73,overcast clouds
131,Kupang,ID,-10.17,123.58,87.37,61,39,3.6,scattered clouds
132,Guerrero Negro,MX,27.98,-114.06,70.18,30,77,9.6,broken clouds
133,Ratnagiri,IN,16.98,73.3,74.62,67,44,7.61,scattered clouds
134,Kadoma,JP,34.73,135.58,53.6,57,75,5.82,broken clouds
135,Kawalu,ID,-7.38,108.21,76.64,75,45,0.67,scattered clouds
136,Batemans Bay,AU,-35.72,150.18,84.0,55,65,4.0,broken clouds
137,Sao Filipe,CV,14.9,-24.5,75.16,71,5,13.27,clear sky
138,San Vicente De Canete,PE,-13.08,-76.38,66.2,77,77,3.2,broken clouds
